game_episode,end_x,end_y
153363_1,65.86782306432724,21.21959352493286
153363_2,64.2584216594696,37.884392738342285
153363_6,61.958233416080475,41.06637644767761
153363_7,59.09135788679123,21.45628535747528
153363_8,72.39721566438675,29.13880431652069
153363_9,80.10754108428955,46.29596996307373
153363_10,63.21227788925171,24.740148186683655
153363_12,65.34982055425644,19.702637910842896
153363_13,71.33170187473297,47.90904927253723
153363_15,66.26688927412033,18.44530463218689
153363_16,59.511170983314514,19.253283143043518
153363_17,82.21613198518753,52.07878136634827
153363_18,51.37908607721329,25.628656029701233
153363_19,61.526998579502106,24.283546447753906
153363_20,68.56844812631607,27.99218189716339
153363_21,69.25343960523605,17.34931778907776
153363_22,66.22285455465317,32.372382164001465
153363_23,69.3460151553154,32.074283599853516
153363_24,58.53628009557724,29.188408374786377
153363_26,75.32152533531189,43.29098987579346
153363_27,66.25457257032394,38.15573263168335
153363_28,62.881260216236115,21.5259827375412
153363_29,83.78000289201736,46.73021674156189
153363_30,83.65187913179398,43.206899881362915
153363_31,81.00262999534607,42.66315412521362
153363_32,66.2667515873909,30.001471519470215
153363_33,74.44391638040543,33.481101870536804
153363_34,66.90203815698624,18.915038466453552
153363_35,65.48750728368759,30.437957644462585
153363_36,78.52844953536987,36.83903741836548
153363_37,78.50849121809006,39.919644594192505
153363_38,58.968334794044495,21.169697642326355
153363_41,73.35383176803589,45.35871124267578
153363_43,63.04185301065445,19.726812720298767
153363_44,72.79931098222733,18.073522448539734
153363_47,69.74685251712799,19.981658458709717
153363_48,48.97734761238098,29.87000262737274
153363_49,65.35234272480011,20.55071794986725
153363_50,75.31786412000656,44.31582832336426
153363_51,71.89941555261612,19.523869156837463
153363_52,62.64786869287491,21.380021929740906
153363_53,63.16653460264206,39.41000175476074
153363_54,78.3000898361206,45.5181405544281
153363_56,65.00519067049026,22.110196828842163
153363_57,67.51217186450958,42.38275957107544
153363_58,79.26469177007675,53.27727556228638
153363_59,69.60779517889023,25.53182303905487
153363_60,51.41245633363724,32.439218044281006
153363_61,62.66392171382904,32.605207324028015
153363_62,81.36380106210709,47.626697063446045
153363_64,72.42725640535355,17.19283103942871
153363_65,74.45499390363693,27.42632234096527
153363_66,68.03131967782974,44.10760760307312
153363_67,78.75670284032822,41.3021502494812
153363_68,68.43772083520889,33.23843169212341
153363_69,62.41229295730591,39.66635322570801
153363_70,73.08809012174606,28.271453738212585
153363_71,77.84710675477982,46.46068453788757
153363_72,67.98886835575104,44.498708963394165
153363_73,70.22610872983932,19.843208074569702
153363_74,68.9641347527504,20.72135615348816
153363_75,78.93975108861923,45.28667116165161
153363_76,74.43380266427994,44.63671350479126
153363_77,58.99895131587982,20.092387557029724
153363_79,62.81856268644333,20.928470373153687
