game_episode,end_x,end_y
153363_1,73.97825360298157,40.41159963607788
153363_2,40.432850271463394,46.55404806137085
153363_6,38.85611817240715,60.266865730285645
153363_7,49.57877889275551,11.124460399150848
153363_8,77.68542498350143,21.07390832901001
153363_9,71.30104780197144,61.70069193840027
153363_10,61.31796509027481,23.23832082748413
153363_12,71.84080481529236,13.56921273469925
153363_13,48.28365683555603,60.6975417137146
153363_15,66.65725618600845,17.388829588890076
153363_16,52.55295932292938,11.809716641902924
153363_17,78.45133870840073,56.33698892593384
153363_18,89.66881424188614,33.129125237464905
153363_19,42.50769227743149,22.389030933380127
153363_20,65.97127586603165,21.262753129005432
153363_21,69.45799827575684,19.650739789009094
153363_22,49.2196261882782,47.44385290145874
153363_23,62.50741571187973,18.30581259727478
153363_24,41.039385348558426,36.66039228439331
153363_26,69.5718714594841,45.49774122238159
153363_27,57.952356934547424,50.82380294799805
153363_28,74.73274558782578,11.928087890148163
153363_29,91.3972082734108,45.10826110839844
153363_30,98.61355751752853,42.70324754714966
153363_31,84.97690737247467,35.944000005722046
153363_32,62.56128877401352,30.26296639442444
153363_33,84.05050098896027,41.82732057571411
153363_34,68.60583633184433,21.497584581375122
153363_35,50.70767551660538,35.39189672470093
153363_36,77.27847307920456,36.48228621482849
153363_37,73.87107700109482,23.557552337646484
153363_38,79.12908285856247,13.069806039333344
153363_41,60.913529098033905,55.41670870780945
153363_43,68.80765378475189,12.189968824386597
153363_44,85.93386143445969,15.84809535741806
153363_47,68.14215749502182,17.134139895439148
153363_48,49.918958991765976,60.87884974479675
153363_49,65.17999023199081,11.721686005592346
153363_50,68.84110540151596,59.558348655700684
153363_51,78.87164622545242,17.053630828857422
153363_52,65.17189800739288,16.435337126255035
153363_53,73.78972917795181,38.20344591140747
153363_54,76.56556874513626,49.997753620147705
153363_56,69.58055824041367,19.03616988658905
153363_57,43.55811059474945,43.59555721282959
153363_58,69.87520784139633,59.483779430389404
153363_59,78.9917904138565,24.536582469940186
153363_60,34.56931382417679,44.82695460319519
153363_61,47.632116973400116,43.709157943725586
153363_62,81.35749250650406,47.94458293914795
153363_64,82.05414980649948,15.620653748512268
153363_65,98.67949068546295,24.863020420074463
153363_66,43.77963289618492,59.3224937915802
153363_67,80.89375108480453,47.5642466545105
153363_68,66.52942657470703,35.62232446670532
153363_69,42.19575360417366,59.86127853393555
153363_70,86.3635191321373,25.836436986923218
153363_71,77.33751565217972,49.65493297576904
153363_72,43.812934309244156,60.69123101234436
153363_73,36.4603815972805,7.37597268819809
153363_74,74.47658568620682,25.237370252609253
153363_75,83.9684334397316,44.74638271331787
153363_76,66.45381152629852,57.03002715110779
153363_77,54.80766087770462,14.119146585464478
153363_79,66.29500240087509,27.82879877090454
153363_80,46.2586010992527,36.46968102455139
153363_81,60.356191992759705,60.2518367767334
153363_82,91.96525365114212,26.757659554481506
153363_83,37.460506707429886,12.876580834388733
153363_84,54.139404594898224,33.99454855918884
153363_85,84.66689318418503,21.888110399246216
153363_86,82.71661698818207,29.31558907032013
153364_1,54.25760865211487,48.22404932975769
153364_2,52.521986067295074,40.51226282119751
153364_3,51.69562786817551,44.23720192909241
153364_4,59.48596805334091,53.15140199661255
153364_5,41.84296891093254,11.275598049163818
153364_6,55.39479464292526,17.237982749938965
153364_7,74.10108894109726,13.623045206069946
153364_8,59.39172774553299,50.219215869903564
153364_9,81.99831157922745,32.86794853210449
153364_10,72.56310313940048,18.993504762649536
153364_11,83.76696020364761,15.25927084684372
153364_12,72.27714031934738,25.959404468536377
153364_14,82.76871263980865,44.07401132583618
153364_15,37.801838368177414,20.713817358016968
153364_16,57.414740324020386,41.67336702346802
153364_17,75.85302114486694,32.29154682159424
153364_18,85.64376801252365,15.665536940097809
153364_19,67.98888713121414,48.91494345664978
153364_20,46.83211013674736,36.3854775428772
153364_21,75.15590697526932,60.93970727920532
153364_22,103.80601823329926,21.27114713191986
153364_23,54.348331689834595,22.33149290084839
153364_24,57.003526389598846,42.332334756851196
153364_25,65.33095747232437,14.98087853193283
153364_26,52.432617992162704,17.050647735595703
153364_27,64.15660232305527,39.48091506958008
153364_28,89.19961541891098,50.456517696380615
153364_29,34.62801218032837,19.349084615707397
153364_30,44.86823424696922,30.399094343185425
153364_31,69.83207434415817,32.81047534942627
153364_32,64.44120705127716,59.51088261604309
153364_33,44.5748645067215,29.651918649673462
153364_34,70.74836701154709,21.579362273216248
153364_36,77.176553606987,49.55836749076843
153364_37,41.52812942862511,8.148079097270966
153364_38,90.78447729349136,33.7763774394989
153364_39,69.77881461381912,59.795180320739746
153364_40,60.2611380815506,27.571709632873535
153364_41,69.11584049463272,31.445847988128662
153364_42,76.64047032594681,10.911260426044464
153364_43,65.2594918012619,52.0348334312439
153364_44,87.89707392454147,35.12581777572632
153364_45,69.40247923135757,51.09705996513367
153364_46,87.88068920373917,15.362849235534668
153364_47,77.99279808998108,24.092188715934753
153364_48,95.10325938463211,39.34401297569275
153364_49,66.50767832994461,34.538071393966675
153364_50,57.997267842292786,16.878101527690887
153364_52,41.78034961223602,6.749545395374298
153364_53,59.71671223640442,13.315599143505096
153364_54,71.10416203737259,61.192386627197266
153364_55,75.81669688224792,61.79178166389465
153364_56,79.20596837997437,57.101207971572876
153364_57,56.45345538854599,26.624765992164612
153364_58,63.281828463077545,19.93936014175415
153364_59,77.59363800287247,40.315200328826904
153364_61,73.79919201135635,40.10601091384888
153364_62,64.05437618494034,51.070556640625
153364_63,82.10827320814133,39.332457542419434
153364_65,78.62397283315659,43.941450119018555
153364_66,91.69805377721786,54.673476696014404
153364_67,64.37179416418076,40.23126029968262
153364_68,63.35836350917816,23.043744921684265
153364_69,71.71771913766861,41.39158630371094
153364_70,40.38086414337158,9.483005225658417
153364_71,85.39503067731857,42.934011697769165
153364_73,57.66464799642563,43.224555253982544
153364_74,75.09723991155624,46.98837184906006
153364_75,68.64934533834457,59.40303325653076
153364_76,82.35437572002411,42.685819149017334
153364_78,78.3155107498169,12.71533066034317
153364_79,62.29478359222412,59.12627840042114
153364_80,66.59452110528946,15.650464415550232
153364_81,76.51635199785233,56.08203172683716
153364_82,83.05433124303818,46.89335060119629
153364_84,71.4573535323143,56.32381629943848
153364_85,74.64352458715439,16.645237863063812
153364_86,62.53703087568283,45.911240100860596
153365_1,51.22121885418892,61.421249866485596
153365_2,62.862128019332886,32.81579506397247
153365_3,33.827654868364334,63.39786124229431
153365_4,68.12726855278015,9.922990202903748
153365_5,48.451362401247025,48.87215065956116
153365_6,76.61889731884003,39.62859845161438
153365_7,47.11430847644806,41.36521673202515
153365_8,53.67898643016815,50.25007629394531
153365_9,35.475004613399506,33.44943690299988
153365_10,65.81915706396103,29.11632776260376
153365_11,52.83529222011566,14.896688222885132
153365_12,34.00727033615112,63.605863094329834
153365_13,41.30326196551323,55.18716049194336
153365_14,61.54297024011612,57.89540386199951
153365_15,43.166138380765915,35.05149173736572
153365_16,38.227640837430954,6.0133779644966125
153365_17,74.12651091814041,22.36336660385132
153365_20,86.44063621759415,22.87078022956848
153365_21,81.02790802717209,28.060562014579773
153365_23,55.23460239171982,21.889405369758606
153365_24,87.81772881746292,43.53173279762268
153365_25,95.93506872653961,52.37076377868652
153365_26,39.472835808992386,11.466748058795929
153365_28,82.71933943033218,36.792009115219116
153365_29,66.84029817581177,32.67599701881409
