game_id,home_score_actual,away_score_actual,home_score_calc,away_score_calc,is_valid_data,is_perfect,diff_home,diff_away
126286,0,1,0.0,0.0,True,False,0.0,1.0
126306,1,2,1.0,1.0,True,False,0.0,1.0
126307,1,1,0.0,1.0,True,False,1.0,0.0
126316,2,3,1.0,3.0,True,False,1.0,0.0
126320,2,4,2.0,3.0,True,False,0.0,1.0
126319,2,1,1.0,1.0,True,False,1.0,0.0
126322,0,2,0.0,1.0,True,False,0.0,1.0
126340,3,0,2.0,0.0,True,False,1.0,0.0
126349,1,2,0.0,2.0,True,False,1.0,0.0
126351,3,3,3.0,2.0,True,False,0.0,1.0
126353,2,2,2.0,1.0,True,False,0.0,1.0
126374,3,1,2.0,1.0,True,False,1.0,0.0
126386,2,1,1.0,1.0,True,False,1.0,0.0
126388,3,0,2.0,0.0,True,False,1.0,0.0
126392,2,0,1.0,0.0,True,False,1.0,0.0
126398,1,5,1.0,4.0,True,False,0.0,1.0
126406,3,3,2.0,3.0,True,False,1.0,0.0
126417,2,1,1.0,1.0,True,False,1.0,0.0
126421,2,0,1.0,0.0,True,False,1.0,0.0
126442,2,1,1.0,1.0,True,False,1.0,0.0
126445,1,2,1.0,1.0,True,False,0.0,1.0
126460,0,4,0.0,3.0,True,False,0.0,1.0
126462,2,0,1.0,0.0,True,False,1.0,0.0
126463,2,4,2.0,3.0,True,False,0.0,1.0
