game_id,period_id,episode_id,time_seconds,team_id,player_id,action_id,type_name,result_name,start_x,start_y,end_x,end_y,is_home,game_episode,phase
126448,1,24,1462.467,2354,500143,776,Throw-In,Successful,81.53029500000001,68.0,76.77894,60.445132,False,126448_24,49371
126448,1,24,1463.7,2354,344558,778,Pass,Successful,76.77894,60.445132,83.948445,66.398736,False,126448_24,49371
126448,1,24,1464.734,2354,500143,780,Carry,,83.948445,66.398736,103.990215,67.2110504,False,126448_24,49371
126448,1,24,1469.1,2354,500143,781,Cross,Successful,103.990215,67.2110504,93.68016,43.18544,False,126448_24,49371
126448,1,24,1470.567,2354,500153,783,Shot,Blocked,93.68016,43.18544,96.6621075,38.798012,False,126448_24,49371
126448,1,24,1470.833,4648,500138,784,Block,,8.3378925,29.201988,8.3378925,29.201988,True,126448_24,49372
126448,1,24,1471.967,4648,250079,785,Recovery,,2.098803,30.993108,2.098803,30.993108,True,126448_24,49372
126448,1,24,1471.968,4648,250079,786,Carry,,2.098803,30.993108,9.4834005,29.834660000000007,True,126448_24,49372
126448,1,24,1479.533,4648,250079,787,Pass,Successful,9.4834005,29.834660000000007,11.204445,21.189344,True,126448_24,49372
126448,1,24,1482.424,4648,500138,789,Pass,Successful,11.908365,20.281884,23.107245,18.126216,True,126448_24,49372
126448,1,24,1483.234,4648,77414,791,Carry,,23.107245,18.126216,12.179475,24.735679999999995,True,126448_24,49372
126448,1,24,1485.133,4648,77414,792,Pass,Successful,12.179475,24.735679999999995,4.6363275,41.891264,True,126448_24,49372
126448,1,24,1487.967,4648,250079,794,Pass,Successful,6.653692499999999,43.124648,14.122815,41.727452,True,126448_24,49372
126448,1,24,1489.068,4648,77414,796,Carry,,14.122815,41.727452,20.09847,43.259016,True,126448_24,49372
126448,1,24,1494.267,4648,77414,797,Pass,Successful,20.09847,43.259016,14.018444999999998,25.230039999999995,True,126448_24,49372
126448,1,24,1496.667,4648,500138,799,Pass,Successful,14.602875,22.324876000000003,24.415755,2.262835999999993,True,126448_24,49372
126448,1,24,1498.101,4648,500140,801,Carry,,24.415755,2.262835999999993,27.74184,3.215992,True,126448_24,49372
126448,1,24,1500.559,4648,500140,802,Pass,Successful,27.74184,3.215992,10.58631,22.063552,True,126448_24,49372
126448,1,24,1502.834,4648,500138,804,Carry,,10.58631,22.063552,9.7527465,25.873184,True,126448_24,49372
126448,1,24,1504.033,4648,500138,805,Pass,Successful,9.7527465,25.873184,4.8424425,46.235104,True,126448_24,49372
126448,1,24,1505.934,4648,250079,807,Carry,,4.8424425,46.235104,6.599502,50.063572,True,126448_24,49372
126448,1,24,1506.933,4648,250079,808,Pass,Successful,6.599502,50.063572,6.6833025,62.7853112,True,126448_24,49372
126448,1,24,1508.533,4648,145703,810,Pass,Successful,6.6833025,62.7853112,18.722235,66.8312908,True,126448_24,49372
126448,1,24,1509.568,4648,145701,812,Carry,,18.722235,66.8312908,75.60556500000001,51.237456,True,126448_24,49372
126448,1,24,1519.267,4648,145701,813,Pass,Successful,75.60556500000001,51.237456,85.88380500000001,61.525992,True,126448_24,49372
