game_episode,end_x,end_y
126292_1,27.639922499656677,3.1983610838651657
126292_10,96.11879914999008,32.67172300815582
126292_100,86.07129782438278,59.55477786064148
126292_102,41.05566367506981,62.183839559555054
126292_103,94.06775504350662,21.551788926124573
126292_104,70.167635679245,40.95637488365173
126292_105,92.02870845794678,34.52039980888367
126292_106,59.69876289367676,61.30714654922485
126292_107,86.61042273044586,61.675416707992554
126292_109,92.51150697469711,15.169295728206635
126292_11,93.63311558961868,5.849259704351425
126292_110,87.32788324356079,12.031962156295776
126292_12,59.79171395301819,45.49201011657715
126292_13,68.01398992538452,51.790714263916016
126292_14,71.98821097612381,18.814504981040955
126292_15,87.94593393802643,55.11032557487488
126292_16,78.84870886802673,64.42772555351257
126292_18,36.33739918470383,20.20245397090912
126292_19,42.51398831605911,13.999982953071594
126292_20,87.95533418655396,60.89881944656372
126292_21,34.45747151970863,57.578673124313354
126292_22,91.16834163665771,7.394920498132706
126292_23,88.86488020420074,15.083456814289093
126292_24,53.61028701066971,5.700589895248413
126292_25,83.38295817375183,5.785228580236435
126292_26,88.34287226200104,17.487914085388184
126292_27,57.105965316295624,57.028223514556885
126292_28,52.32700601220131,7.614327818155289
126292_29,68.24500322341919,60.98100447654724
126292_30,63.585152328014374,61.764017820358276
126292_31,60.34861922264099,61.669527530670166
126292_34,59.150481820106506,62.235557317733765
126292_35,45.48429474234581,4.294717520475388
126292_36,66.51132076978683,55.31600499153137
126292_37,63.16282957792282,6.301803261041641
126292_39,82.1174356341362,61.535300493240356
126292_4,70.55121213197708,17.813533306121826
126292_40,90.87150156497955,34.543782234191895
126292_41,52.53908425569534,13.759177207946777
126292_42,85.17022579908371,10.26482492685318
126292_43,42.15519234538078,59.89038395881653
126292_44,40.042411386966705,62.11566209793091
126292_45,71.31198137998581,22.848052382469177
126292_46,62.914592921733856,60.0275981426239
126292_47,87.39328444004059,61.383381605148315
126292_48,90.30191034078598,57.551002502441406
126292_49,68.85703325271606,61.23562932014465
126292_5,53.561739921569824,55.37248921394348
126292_50,44.03032913804054,62.86140298843384
126292_52,35.86737737059593,12.726619601249695
126292_53,64.99744266271591,6.2692820727825165
126292_54,83.88681650161743,56.43222498893738
126292_56,62.58166640996933,6.183901160955429
126292_57,74.96834009885788,14.081402957439423
126292_58,42.35650911927223,4.726654529571533
126292_59,59.216990768909454,52.77250862121582
126292_6,63.04192811250687,11.030464589595795
126292_60,88.10114443302155,31.651369333267212
126292_62,93.77325564622879,42.49060893058777
126292_63,63.268166184425354,62.624725341796875
126292_64,86.17558926343918,14.205167889595032
126292_65,60.199911296367645,20.04265582561493
126292_66,74.15947437286377,39.74586725234985
126292_67,51.790910214185715,4.071819707751274
126292_68,93.183274269104,38.579899311065674
126292_69,93.60987156629562,5.490973383188248
126292_7,36.390333473682404,54.81783652305603
126292_70,50.765607208013535,33.71178090572357
126292_71,24.03865411877632,4.692863702774048
126292_72,67.79505550861359,56.22382998466492
126292_75,90.75851708650589,56.98207473754883
126292_76,80.99705994129181,28.3647483587265
126292_77,54.559993743896484,29.766486048698425
126292_79,59.69863146543503,28.735138297080994
126292_8,37.23773270845413,62.50459098815918
126292_80,85.36125987768173,21.782249093055725
126292_81,92.89174139499664,18.716938376426697
126292_82,34.294300228357315,61.75279474258423
126292_83,18.644717037677765,62.02768111228943
126292_85,64.114770591259,3.643465906381607
126292_87,40.014251321554184,7.397568196058273
126292_88,66.47911459207535,42.73951077461243
126292_89,69.58834379911423,62.38576579093933
126292_9,75.9863331913948,53.93296027183533
126292_90,35.0179660320282,52.18481492996216
126292_91,30.77709585428238,60.11716389656067
126292_92,30.389773696660995,9.83525037765503
126292_96,62.67990589141846,30.4908264875412
126292_97,76.21300309896469,58.447726011276245
126292_98,69.1586109995842,62.70495676994324
126292_99,58.099012076854706,48.697582960128784
126298_1,65.00245571136475,8.655101597309113
126298_10,48.813922852277756,5.649092525243759
126298_11,56.476636826992035,56.126834869384766
126298_12,73.314109146595,58.15798497200012
126298_13,73.80772233009338,8.797037661075592
126298_14,18.83865348994732,65.01891708374023
126298_15,88.97725135087967,55.25833320617676
126298_16,64.53279376029968,61.23996615409851
126298_17,93.37182372808456,17.768290400505066
126298_18,48.97949740290642,65.28121042251587
126298_19,66.35791897773743,9.683544278144836
126298_2,69.79069322347641,13.964016616344452
126298_20,77.5371927022934,13.016775071620941
126298_21,52.58933365345001,31.914092302322388
126298_22,40.37078484892845,6.958958238363266
126298_23,75.33586353063583,26.66371238231659
126298_24,81.07271879911423,37.018598556518555
126298_25,30.963586270809174,62.42488646507263
126298_27,83.34244072437286,47.852739334106445
126298_28,86.0894849896431,16.510626792907715
126298_29,63.21820467710495,38.4254310131073
126298_3,70.96205681562424,44.0944390296936
126298_30,84.30152893066406,13.152019441127777
126298_31,65.60684412717819,4.2035700380802155
126298_32,49.96575370430946,25.255635619163513
126298_33,23.563955649733543,61.81090426445007
126298_34,85.28040021657944,18.160536766052246
126298_35,93.44879686832428,43.46857309341431
126298_36,87.18318074941635,8.416690737009048
126298_37,30.348536521196365,45.05065417289734
126298_38,88.61910313367844,54.78358769416809
126298_39,42.17484399676323,8.419966667890549
126298_4,64.66426581144333,7.90086030960083
126298_40,58.95482271909714,37.421571493148804
126298_41,47.92233869433403,6.095384657382965
126298_42,62.98182785511017,10.650009751319885
126298_43,78.64497005939484,37.45952486991882
126298_45,69.33456838130951,64.46426844596863
126298_46,31.083940118551254,4.310323029756546
126298_47,24.983632564544678,55.582043409347534
126298_48,68.63914400339127,15.24325293302536
126298_49,68.19591790437698,59.95301675796509
